siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region
bgbm,BEAVERHEAD RIVER AT GIEM BRIDGE; MONTANA,MT,45.47361,-112.36305,,,,,,0,,,,stream,,GP
bgsw,BIG GOOSE; WYOMING,WY,44.6,-107.21667,7760,,,,,0,,,,snotel,,GP
bhdm,BIG HOLE RIVER AT MAIDEN ROCK NEAR DIVIDE; MONTANA,MT,46.21806,-112.655,,,,,,0,,,,stream,,GP
bhdy,BIGHORN RIVER BLW BIGHORN CANAL DIVERSION DAM; WY,WY,43.93556,-108.0375,,,,,,0,,,,stream,,GP
bhgm,BIG HOLE RIVER NEAR GLEN; MONTANA,MT,45.44056,-112.55556,,,,,,0,,,,stream,,GP
bhmt,BIGHORN RIVER ABOVE TULLOCK CREEK NEAR BIGHORN; MT,MT,46.12472,-107.46833,,,,,,0,,,,stream,,GP
bhmw,BLACKHALL MOUNTAIN; WYOMING,WY,41.00083,-106.0675,9820,,,,,0,,,,snotel,,GP
bhr,BIGHORN LAKE; MONTANA,MT,45.30722,-107.95694,,,,,,0,,,,reservoir,WYAO,GP
bhrw,BIGHORN RIVER NEAR WORLAND; WYOMING,WY,44.01472,-107.96889,,,,,,0,,,,stream,,GP
bhsx,BIGHORN RIVER AND BIA CANAL NEAR ST. XAVIER; MONTANA,MT,45.31667,-107.91805,,,,,,0,,,,reservoir,,GP
bhwm,BIG HOLE RIVER BELOW MUDD CREEK NEAR WISDOM; MT,MT,45.8075,-113.3125,,,,,,0,,,,stream,,GP
bhwy,BIG HORN CANAL; WYOMING,WY,43.94528,-108.01694,,,,,,0,,,,canal,,GP
bigsaowy,BIG SANDY OPENING; WY,WY,42.63334,-109.26667,9100,,,,,0,,,,snotel,,GP
bigthom,BIG THOMPSON RIVER; CO,CO,40.35444,-104.75972,,,,,,0,,,,stream,,GP
bil,YELLOWSTONE RIVER AT BILLINGS; MT,MT,45.79667,-108.47,,,,,,0,,,,stream,,GP
blay,BULL LAKE CREEK ABOVE BULL LAKE RESERVOIR; WYOMING,WY,43.17694,-109.20222,,,,,,0,,,,stream,,GP
blbm,BLACK BEAR; MONTANA,MT,44.5,-111.11667,7950,,,,,0,,,,snotel,,GP
blck,BULL LAKE CREEK BLW BULL LAKE RES NR LENORE; WYOMING,WY,43.2425,-109.02222,,,,,,0,,,,stream,,GP
bldm,BOULDER RIVER NEAR BOULDER; MT,MT,46.21111,-112.09084,,,,,,0,,,,stream,,GP
bldy,BALD MOUNTAIN; WYOMING,WY,44.8,-107.85,9380,,,,,0,,,,snotel,,GP
blkc,BEAR LAKE; COLORADO,CO,40.3,-105.63333,9500,,,,,0,,,,snotel,,GP
blom,BLOODY DICK; MONTANA,MT,45.16667,-113.5,7550,,,,,0,,,,snotel,,GP
blr,BULL LAKE RESERVOIR ON BULL LAKE CREEK; WYOMING,WY,43.20972,-109.04166,,,,,,0,,,,reservoir,WYAO,GP
bltw,BEARTOOTH LAKE; WYOMING,WY,44.78333,-109.56667,9275,,,,,0,,,,snotel,,GP
bludilco,BLUE RIVER BELOW DILLON; COLORADO,CO,39.62555,-106.06583,,,,,,0,,,,stream,,GP
blugreco,BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR; CO,CO,39.88028,-106.33334,,,,,,0,,,,stream,,GP
blwy,BLACKWATER; WYOMING,WY,44.38334,-109.8,9780,,,,,0,,,,snotel,,GP
bocm,BROKEN-O CANAL; MONTANA,MT,47.52055,-112.24694,,,,,,0,,,,canal,,GP
bomm,BOULDER MOUNTAIN; MONTANA,MT,46.56667,-111.3,7950,,,,,0,,,,snotel,,GP
bomt,BROKEN O RANCH; MONTANA WEATHER STATION,MT,47.52055,-112.24694,3890,,,,,0,,,,agrimet,,GP
bonc,BONNY RESERVOIR; COLORADO,CO,39.62333,-102.17333,,,,,,0,,,,reservoir,NKAO,GP
boutunco,CHARLES H. BOUSTEAD TUNNEL; CO,CO,39.27778,-106.42777,,,,,,0,,,,diversion,,GP
boxm,BOX CANYON; MONTANA,MT,45.28333,-110.25,6700,,,,,0,,,,snotel,,GP
boyr,BOYSEN RESERVOIR; THERMOPOLIS; WYOMING,WY,43.4,-108.17694,,,,,,0,,,,reservoir,WYAO,GP
boyw,BOYSEN WEATHER STATION NR THERMOPOLIS; WYOMING,WY,43.40417,-108.17333,4710,,,,,0,,,,weather,,GP
bozm,BOZEMAN MONTANA WEATHER STATION  6W,MT,45.67361,-111.15,4775,,,,,0,,,,agrimet,,GP
brbm,BELLY RIVER @ INTERNATIONAL BOUNDARY; MONTANA,MT,48.99722,-113.68055,,,,,,0,,,,stream,,GP
brcm,BRACKETT CREEK; MONTANA,MT,45.88334,-110.93333,7320,,,,,0,,,,snotel,,GP
brcw,BURROUGHS CREEK; WYOMING,WY,43.7,-109.66666,8750,,,,,0,,,,snotel,,GP
brdm,BEAVERHEAD RIVER AT DILLON; MONTANA,MT,46.21806,-112.655,,,,,,0,,,,stream,,GP
brgm,BUFFALO RAPIDS WEATHER STATION NEAR GLENDIVE; MT,MT,46.98778,-104.80305,2140,,,,,0,,,,agrimet,,GP
brjw,BURGESS JUNCTION; WYOMING,WY,44.78333,-107.53333,7880,,,,,0,,,,snotel,,GP
brmc,BRUMLEY; COLORADO,CO,39.08333,-106.53333,10600,,,,,0,,,,snotel,,GP
broklnwy,BROOKLYN LAKE; WY,WY,41.36666,-106.23333,10220,,,,,0,,,,snotel,,GP
brtb,BEAVERHEAD RIVER AT TWIN BRIDGES; MT,MT,45.54694,-112.33723,,,,,,0,,,,stream,,GP
brtm,BUFFALO RAPIDS WEATHER STATION NEAR TERRY; MT,MT,46.77806,-105.29945,2270,,,,,0,,,,agrimet,,GP
bsck,BIG SANDY CREEK NEAR HAVRE; MONTANA,MT,48.55639,-109.80806,,,,,,0,,,,stream,,GP
bsdy,BONE SPRINGS DIVIDE; WYOMING,WY,44.68333,-107.58334,9350,,,,,0,,,,snotel,,GP
btabesco,BIG THOMPSON RIVER ABOVE LAKE ESTES; CO,CO,40.37833,-106.48638,,,,,,0,,,,stream,,GP
btblesco,BIG THOMPSON RIVER BELOW LAKE ESTES; CO,CO,40.37639,-105.48583,,,,,,0,,,,stream,,GP
btcan,BIG THOMPSON RIVER AT CANYON MOUTH; CO (SCADA),CO,40.42167,-105.22611,,,,,,0,,,,stream,,GP
btcanyco,BIG THOMPSON RIVER AT CANYON MOUTH; NR DRAKE; CO,CO,40.42167,-105.22611,,,,,,0,,,,stream,,GP
btclhtco,COLORADO - BIG THOMPSON; CO,CO,40.35444,-104.75972,,,,,,0,,,,stream,,GP
btdm,BLACKTAIL DEER CREEK AT DILLON; MONTANA,MT,45.04639,-112.54806,,,,,,0,,,,stream,,GP
btnfdrco,NORTH FORK BIG THOMPSON RIVER AT DRAKE; CO,CO,40.43333,-105.33889,,,,,,0,,,,stream,,GP
btnw,BEAR TRAP MEADOW; WYOMING,WY,43.88334,-107.06667,8200,,,,,0,,,,snotel,,GP
btppmcco,POWER PLANT AT BIG THOMPSON RVR CANYON MOUTH; CO,CO,40.42361,-105.22806,5450,,,,,0,,,,stream,,GP
bustunco,BUSK-IVANHOE TUNNEL; COLORADO    (Parshall Flume),CO,39.24861,-106.47056,,,,,,0,,,,diversion,,GP
bvb,BEAVERHEAD RIVER AT BARRETTS; MONTANA,MT,45.11639,-112.74972,,,,,,0,,,,stream,,GP
bvtb,BEAVERHEAD RIVER NR TWIN BRIDGES; MT,MT,45.38361,-112.45194,,,,,,0,,,,stream,,GP
bwne,BLACKWOOD WASTEWAY; NEBRASKA,NE,40.30555,-100.85611,,,,,,0,,,,canal,,GP
caawne,CAMBRIDGE CANAL; WASTEWAY; ALMA; NEBRASKA,NE,40.11722,-99.41583,,,,,,0,,,,canal,,GP
cabm,MISSOURI RIVER; CENTRAL AVE BRIDGE; GREAT FALLS; MT,MT,47.50694,-111.31195,,,,,,0,,,,stream,,GP
cane,CALAMUS RESERVOIR (VIRGINIA SMITH DAM); NEBRASKA,NE,41.82722,-99.21972,,,,,,0,,,,reservoir,NKAO,GP
canw,CANYON; WYOMING,WY,41.26722,-106.74528,7940,,,,,0,,,,snotel,,GP
caoxne,CAMBRIDGE CANAL AT OXFORD; NEBRASKA,NE,40.25111,-99.63694,,,,,,0,,,,canal,,GP
carconco,CARTER CONDUIT FLOW METER; COLORADO,CO,40.58889,-105.37334,,,,,,0,,,,diversion,,GP
cardivco,CARTER DIVERSION/BYPASS; COLORADO,CO,39.36666,-106.54444,,,,,,0,,,,diversion,,GP
care,NORTH FORK RED RIVER NEAR CARTER; OKLAHOMA,OK,35.16806,-99.50694,,,,,,0,,,,stream,,GP
carterco,CARTER LAKE RESERVOIR NEAR LOVELAND; CO,CO,40.32417,-105.21194,,,,,,0,,,,reservoir,ECAO,GP
casm,MISSOURI RIVER BRIDGE AT CASCADE; MT,MT,47.26944,-111.69222,,,,,,0,,,,stream,,GP
casperwy,CASPER; WY,WY,42.73333,-106.31667,7850,,,,,0,,,,snotel,,GP
cawne,CAMBRIDGE CANAL; WASTEWAY; ORLEANS; NEBRASKA,NE,40.14389,-99.46194,,,,,,0,,,,canal,,GP
cawy,CASPER CANAL; WYOMING,WY,42.73333,-106.64417,,,,,,0,,,,canal,,GP
cbcm,CUT BANK CREEK AT CUT BANK; MT,MT,48.63334,-112.34612,,,,,,0,,,,stream,,GP
cbkm,CUT BANK CREEK NEAR BROWNING; MT,MT,48.61666,-113.035,,,,,,0,,,,stream,,GP
cbks,CEDAR BLUFF RESERVOIR NR ELLIS; KANSAS,KS,38.79,-99.72028,,,,,,0,,,,reservoir,NKAO,GP
ccdt,CHOKE CANYON RESERVOIR NEAR THREE RIVERS; TEXAS,TX,28.46667,-98.16666,,,,,,0,,,,reservoir,OTAO,GP
ccfrne,CENTER CREEK AT FRANKLIN; NEBRASKA,NE,40.09167,-98.96611,,,,,,0,,,,stream,,GP
ccks,CAWKER CITY DIKE; KANSAS,KS,39.49889,-98.44056,,,,,,0,,,,reservoir,,GP
ccne,COURTLAND CANAL; MILE 0.7; NEBRASKA,NE,40.05972,-98.36917,,,,,,0,,,,canal,,GP
ccr,CLARK CANYON RESERVOIR; BEAVERHEAD RVR NR DILLON; MT,MT,45.00167,-112.8575,,,,,,0,,,,reservoir,MTAO,GP
ccrw,CASTLE CREEK; WYOMING,WY,43.66667,-109.38333,8400,,,,,0,,,,snotel,,GP
ccwy,CHERRY CREEK DRAIN; WYOMING,WY,42.03944,-104.16861,,,,,,0,,,,canal,,GP
cdcy,CODY CANAL SOUTH FORK OF SHOSHONE RIVER; WYOMING,WY,43.23167,-108.89444,,,,,,0,,,,canal,,GP
cdne,CAMBRIDGE DIVERSION; NEBRASKA,NE,40.28528,-100.12083,,,,,,0,,,,diversion,,GP
cegm,ST. MARY CANAL AT EMMIGRANT GAP; MONTANA,MT,48.94639,-113.09528,,,,,,0,,,,canal,,GP
cfbm,CLARKS FORK YELLOWSTONE RIVER NEAR BELFRY; MT,MT,45.01028,-109.06473,,,,,,0,,,,stream,,GP
cfr,CANYON FERRY LAKE NEAR HELENA; MONTANA,MT,46.64917,-111.7275,,,,,,0,,,,reservoir,MTAO,GP
cfrsat,CANYON FERRY LAKE NEAR HELENA; MONTANA,MT,46.64917,-111.7275,,,,,,0,,,,reservoir,,GP
cheney,CHENEY DAM; KANSAS,KS,37.72611,-97.79389,,,,,,0,,,,reservoir,,GP
cheny,Cheny Dam,KS,37.7261,-97.7939,,,,,,0,,,,reservoir,OTAO,GP
chmbrsco,CHAMBERS LAKE; CO,CO,40.60333,-105.85139,,,,,,0,,,,reservoir,ECAO,GP
chpdivco,CHAPMAN CREEK DIVERSION/BYPASS; COLORADO,CO,39.26305,-106.63028,,,,,,0,,,,diversion,,GP
cinw,CINNABAR PARK; WYOMING,WY,41.01778,-106.01778,9574,,,,,0,,,,snotel,,GP
claforco,CACHE LA POUDRE RIVER AT FORT COLLINS; CO,CO,40.58916,-105.06917,,,,,,0,,,,stream,,GP
claftcco,CACHE LA POUDRE RVR @ CANYON MOUTH NR FT COLLINS; CO,CO,40.66445,-105.22389,,,,,,0,,,,stream,,GP
clck,CLEAR CREEK NEAR CHINOOK; MONTANA,MT,48.58916,-109.40166,,,,,,0,,,,stream,,GP
clcm,COLE CREEK; MONTANA,MT,45.2,-109.35,7850,,,,,0,,,,snotel,,GP
clmt,MISSOURI RIVER NEAR CULBERTSON; MT,MT,48.12333,-104.475,,,,,,0,,,,stream,,GP
clvm,CALVERT CREEK; MONTANA,MT,45.88334,-113.33334,6430,,,,,0,,,,snotel,,GP
cmbm,ST. MARY CANAL AT MARTIN'S BRIDGE; NEAR BABB; MT,MT,48.91361,-113.20305,,,,,,0,,,,canal,,GP
cmdm,CLOVER MEADOW; MONTANA,MT,45.01667,-111.85,8800,,,,,0,,,,snotel,,GP
cmo,LAKE COMO RESERVOIR,MT,46.06111,-114.23333,,,,,,0,,,,reservoir,,GP
cobb,FORT COBB DAM; OKLAHOMA,OK,35.15778,-98.45638,,,,,,0,,,,reservoir,OTAO,GP
cobc,COBB CREEK NEAR EAKLY; OKLAHOMA,OK,35.28333,-98.59389,,,,,,0,,,,stream,,GP
codywy,ARCHIVE DATA REPOSITORY FOR SHOSHONE CANALS; WY,WY,44.50139,-109.18333,5360,,,,,0,,,,canal,,GP
colcamco,COLORADO RIVER NEAR CAMEO; CO (CCAC),CO,39.23889,-108.26667,,,,,,0,,,,stream,,GP
colditco,COLUMBINE DITCH; COLORADO,CO,39.37361,-106.22723,,,,,,0,,,,canal,,GP
coldotco,COLORADO RIVER NEAR DOTSERO; EAGLE COUNTY; CO,CO,39.64389,-107.07722,,,,,,0,,,,stream,,GP
colgbyco,COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),CO,40.14389,-106.13306,,,,,,0,,,,stream,,GP
colgleco,COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,CO,39.555,-107.33694,,,,,,0,,,,stream,,GP
colkreco,COLORADO RIVER NEAR KREMMLING; CO (CKMC),CO,40.03667,-106.43945,,,,,,0,,,,stream,,GP
colmbnco,COLUMBINE; CO,CO,40.4,-106.61667,9165,,,,,0,,,,snotel,,GP
colngbco,COLORADO RIVER NEAR GRANBY RESERVOIR; CO,CO,40.12083,-105.9,,,,,,0,,,,stream,,GP
colpalco,COLORADO RIVER NEAR PALISADE; COLORADO (CGVC),CO,39.09944,-108.3575,,,,,,0,,,,stream,,GP
colutaco,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE (CCUC),CO,39.13277,-109.02639,,,,,,0,,,,stream,,GP
comt,CONRAD MONTANA WEATHER STATION,MT,48.17278,-111.84722,3520,,,,,0,,,,agrimet,,GP
cone,COURTLAND CANAL; STATE LINE; NEBRASKA,NE,40.00306,-98.13278,,,,,,0,,,,canal,,GP
coplndco,COPELAND; CO,CO,40.2,-105.56667,8550,,,,,0,,,,snotel,,GP
cosw,COLD SPRINGS; WYOMING,WY,43.26667,-109.45,9630,,,,,0,,,,snotel,,GP
cpcm,COPPER CAMP; MONTANA,MT,47.08333,-112.73333,6950,,,,,0,,,,snotel,,GP
cpkw,CLOUD PEAK RESERVOIR; WYOMING,WY,44.4,-107.06667,9860,,,,,0,,,,snotel,,GP
cpmc,COPPER MOUNTAIN; COLORADO,CO,39.48333,-106.16666,10500,,,,,0,,,,snotel,,GP
crbi,CRAB CREEK; IDAHO,ID,44.41667,-112,6860,,,,,0,,,,snotel,,GP
crbt,CANADIAN RIVER NEAR AMARILLO (HWY 87 & 287); TEXAS,TX,35.47028,-101.87917,,,,,,0,,,,stream,,GP
cred,CHEYENNE RIVER AT EDGEMONT; SOUTH DAKOTA,SD,43.30555,-103.82056,,,,,,0,,,,stream,,GP
crow,CROW CREEK; WYOMING,WY,41.23333,-105.38333,8330,,,,,0,,,,snotel,,GP
crrm,CARROT BASIN; MONTANA,MT,44.96667,-111.28333,7000,,,,,0,,,,snotel,,GP
crym,CRYSTAL LAKE; MONTANA,MT,46.8,-109.5,6050,,,,,0,,,,snotel,,GP
cune,CULBERTSON CANAL; MILE 0.53; NE,NE,40.35917,-101.09306,,,,,,0,,,,canal,,GP
cxne,CULBERTSON EXTENSION CANAL; NEBRASKA,NE,40.30555,-100.85611,,,,,,0,,,,canal,,GP
dane,DAVIS CREEK DAM; NEBRASKA,NE,41.40472,-98.70777,,,,,,0,,,,reservoir,NKAO,GP
dcabne,MIRDAN CANAL INLET TO DAVIS CREEK DAM; NEBRASKA,NE,41.44639,-98.79166,,,,,,0,,,,canal,,GP
dcby,DINWOODY CREEK ABOVE LAKES; NEAR BURRIS; WY,WY,43.34555,-109.40945,,,,,,0,,,,stream,,GP
dccy,DRY CREEK CANAL NEAR BURRIS; WYOMING,WY,43.34306,-109.29111,,,,,,0,,,,canal,,GP
ddmm,DEADMAN CREEK; MONTANA,MT,46.8,-110.68333,6450,,,,,0,,,,snotel,,GP
dedmnhco,DEAD MAN HILL; CO,CO,40.8,-105.75,10220,,,,,0,,,,snotel,,GP
dfr,DEERFIELD RESERVOIR; SOUTH DAKOTA,SD,44.02806,-103.78584,,,,,,0,,,,reservoir,DKAO,GP
dfrt,DRY FRIO RIVER NR REAGAN WELLS; TEXAS,TX,29.50444,-99.78111,,,,,,0,,,,stream,,GP
dhlm,DARKHORSE LAKE; MONTANA,MT,45.16667,-113.58334,8700,,,,,0,,,,snotel,,GP
dillonco,DILLON 1E; COLORADO (CLIMATOLOGY),CO,39.62472,-106.0325,9065,,,,,0,,,,weather,,GP
diltunco,DILLIE TUNNEL AT THOMPSON RIVER NR DRAKE; CO,CO,40.41945,-105.24583,,,,,,0,,,,diversion,,GP
divm,DIVIDE; MONTANA,MT,44.8,-112.05,7800,,,,,0,,,,snotel,,GP
dlnm,DILLON MONTANA WEATHER STATION,MT,45.33333,-112.50916,5000,,,,,0,,,,agrimet,,GP
dmlw,DOME LAKE; WYOMING,WY,44.56667,-107.3,8880,,,,,0,,,,snotel,,GP
dodm,DODSON NORTH CANAL; MT,MT,48.41195,-108.3075,,,,,,0,,,,stream,,GP
dodnthmt,DODSON NORTH MAIN DIVERSION,MT,48.37972,-108.17083,,,,,,0,,,,canal,,GP
dodpmpmt,DODSON PUMP MAIN DIVERSION,MT,48.405,-108.22,,,,,,0,,,,canal,,GP
dodsthmt,DODSON SOUTH MAIN DIVERSION,MT,48.3475,-108.14278,,,,,,0,,,,canal,,GP
dpcm,DODSON PUMPS CANAL; MT,MT,48.41306,-108.26833,,,,,,0,,,,canal,,GP
dpkw,DEER PARK; WYOMING,WY,42.58333,-108.9,9700,,,,,0,,,,snotel,,GP
dpym,DUPUYER CREEK; MONTANA,MT,48.06667,-112.75,5750,,,,,0,,,,snotel,,GP
drby,DRY CREEK NEAR BURRIS; WYOMING,WY,43.33639,-109.29861,,,,,,0,,,,stream,,GP
drmt,DEARBORN RIVER NEAR CRAIG; MT,MT,47.2,-112.08334,,,,,,0,,,,stream,,GP
dscm,DODSON SOUTH CANAL; MT,MT,48.40583,-108.30611,,,,,,0,,,,canal,,GP
dsne,DRY SPOTTED TAIL DIVERSION INTO TRI-STATE CANAL; WY,NE,41.98639,-103.82944,,,,,,0,,,,diversion,,GP
dukt,DOVE CREEK AT KNICKERBOCKER; TEXAS,TX,31.28333,-100.3,,,,,,0,,,,stream,,GP
dune,DUNLAP DIVERSION; NEBRASKA,NE,42.4625,-102.92361,,,,,,0,,,,diversion,,GP
dvdy,DIVIDE PEAK; WYOMING,WY,41.3,-107.16666,8860,,,,,0,,,,snotel,,GP
eapr,E.A. PATTERSON LAKE (DICKINSON); NORTH DAKOTA,ND,46.86972,-102.82694,,,,,,0,,,,reservoir,DKAO,GP
ecamne,ELM CREEK AT AMBOY; NEBRASKA,NE,40.09083,-98.43611,,,,,,0,,,,stream,,GP
