network,station id,start_date,end_date, lat,lon,elev,element,state,county,basin,site_name,site_info_link,cdbs_id,shef_id,gmt_offset,
snotel,947,1999-03-16,2100-01-01,  65.12,-146.73,   2000,Snow Water Equivalent,AK,,Chena River,LITTLE CHENA RIDGE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=947,46Q02S  ,LCHA2,8.0,
snotel,1001,2000-10-25,2100-01-01,  58.19,-133.83,    850,Snow Water Equivalent,AK,Juneau,Mainland,LONG LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1001,33J01S  ,LLKA2,8.0,
snotel,1096,2007-06-28,2100-01-01,  61.35,-142.71,   1610,Snow Water Equivalent,AK,Valdez-cordova,Chitina River,MAY CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1096,42M01S  ,SNCA2,8.0,
snotel,1003,2000-10-25,2100-01-01,  59.74,-151.25,   1320,Snow Water Equivalent,AK,Kenai Cook Inlet,Lower Kenai Peninsula,MCNEIL CANYON,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1003,51K14S  ,MCNA2,8.0,
snotel,949,1999-03-16,2100-01-01,  65.08,-145.87,   1850,Snow Water Equivalent,AK,,Chena River,MONUMENT CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=949,45Q02S  ,MNCA2,8.0,
snotel,1035,2002-11-15,2100-01-01,  61.38,-149.00,   2100,Snow Water Equivalent,AK,Anchorage,Anchorage,MORAINE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1035,48M04S  ,MORA2,8.0,
snotel,1103,2007-09-25,2100-01-01,  60.96,-149.09,   1540,Snow Water Equivalent,AK,Anchorage,Anchorage,MT. ALYESKA,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1103,49L01S  ,YESA2,8.0,
snotel,1073,2006-04-21,2100-01-01,  60.55,-145.75,   1405,Snow Water Equivalent,AK,Valdez-cordova,Eastern Prince William Sound,MT. EYAK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1073,45L01S  ,EYKA2,8.0,
snotel,948,1999-03-16,2100-01-01,  65.25,-146.15,   2800,Snow Water Equivalent,AK,,Chena River,MT. RYAN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=948,46Q01S  ,MTRA2,8.0,
snotel,950,1999-03-16,2100-01-01,  64.85,-146.21,   3100,Snow Water Equivalent,AK,,Chena River,MUNSON RIDGE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=950,46P01S  ,MSOA2,8.0,
snotel,1002,2000-10-25,2100-01-01,  61.39,-150.03,    250,Snow Water Equivalent,AK,Matanuska-susitna,Lower Susitna River,POINT MACKENZIE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1002,50M03S  ,PTMA2,8.0,
snotel,987,2000-10-25,2100-01-01,  59.35,-151.85,    300,Snow Water Equivalent,AK,Kenai Peninsula,Lower Kenai Peninsula,PORT GRAHAM,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=987,51K15S  ,PGRA2,8.0,
snotel,955,1999-03-16,2100-01-01,  60.62,-149.53,   1400,Snow Water Equivalent,AK,Kenai Peninsula,Upper Kenai Peninsula,SUMMIT CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=955,49L19S  ,SUUA2,8.0,
snotel,967,1999-03-16,2100-01-01,  62.13,-150.04,    375,Snow Water Equivalent,AK,Matanuska-susitna,Lower Susitna River,SUSITNA VALLEY HIGH,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=967,50N07S  ,SUVA2,8.0,
snotel,951,1999-03-16,2100-01-01,  64.95,-145.52,   1640,Snow Water Equivalent,AK,,Chena River,TEUCHET CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=951,45P03S  ,TEUA2,8.0,
snotel,1089,2006-10-01,2100-01-01,  62.63,-150.78,    850,Snow Water Equivalent,AK,Matanuska-susitna,Chulitna River,TOKOSITNA VALLEY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1089,50N05S  ,TKVA2,8.0,
snotel,954,1999-02-16,2100-01-01,  60.78,-149.18,   1880,Snow Water Equivalent,AK,,Upper Kenai Peninsula,TURNAGAIN PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=954,49L13S  ,TUGA2,8.0,
snotel,952,1999-03-16,2100-01-01,  65.10,-144.93,   2850,Snow Water Equivalent,AK,,Chena River,UPPER CHENA,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=952,44Q07S  ,UCEA2,8.0,
snotel,1055,2003-12-24,2100-01-01,  61.19,-145.65,   1750,Snow Water Equivalent,AK,Valdez-cordova,Middle Copper River,UPPER TSAINA RIVER,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1055,45M07S  ,UPPA2,8.0,
snotel,308,1978-10-01,2100-01-01,  34.46,-111.41,   7300,Snow Water Equivalent,AZ,Gila,Lower Verde,BAKER BUTTE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=308,11R06S  ,BKBA3,8.0,
snotel,1140,2009-05-18,2100-01-01,  34.46,-111.38,   7700,Snow Water Equivalent,AZ,Coconino,Lower Verde,BAKER BUTTE SMT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1140,11R07S  ,BBSA3,8.0,
snotel,310,1978-10-01,2100-01-01,  33.98,-109.50,   9125,Snow Water Equivalent,AZ,Apache,White,BALDY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=310,09S01S  ,BLDA3,8.0,
snotel,902,1994-05-09,2100-01-01,  33.69,-109.22,   7990,Snow Water Equivalent,AZ,Greenlee,San Francisco,BEAVER HEAD,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=902,09S06S  ,XBHA3,8.0,
snotel,1143,2009-10-01,2100-01-01,  36.33,-109.06,   9200,Snow Water Equivalent,AZ,Apache,Chinle,BEAVER SPRING,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1143,09N05S  ,BVRA3,8.0,
snotel,1139,2009-05-18,2100-01-01,  35.26,-112.06,   7100,Snow Water Equivalent,AZ,Coconino,Havasu Canyon,CHALENDER,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1139,12P01S  ,CDRA3,8.0,
snotel,416,1978-10-01,2100-01-01,  33.80,-109.15,   8400,Snow Water Equivalent,AZ,Apache,San Francisco,CORONADO TRAIL,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=416,09S07S  ,CNDA3,8.0,
snotel,1121,2008-06-26,2100-01-01,  35.27,-111.74,   7350,Snow Water Equivalent,AZ,Coconino,Canyon Diablo,FORT VALLEY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1121,11P02S  ,FRVA3,8.0,
snotel,488,1978-10-01,2100-01-01,  35.07,-111.84,   7200,Snow Water Equivalent,AZ,Coconino,Upper Verde,FRY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=488,11P13S  ,FRYA3,8.0,
snotel,511,1978-10-01,2100-01-01,  33.65,-109.31,   9020,Snow Water Equivalent,AZ,Greenlee,San Francisco,HANNAGAN MEADOWS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=511,09S11S  ,HNMA3,8.0,
snotel,969,1999-06-13,2100-01-01,  34.75,-111.41,   7630,Snow Water Equivalent,AZ,Coconino,Lower Verde,HAPPY JACK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=969,11R05S  ,XHJA3,8.0,
snotel,519,1978-10-01,2100-01-01,  34.31,-110.75,   7640,Snow Water Equivalent,AZ,Coconino,Upper Salt,HEBER,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=519,10R04S  ,HBEA3,8.0,
snotel,617,1978-10-01,2100-01-01,  33.92,-109.46,   9200,Snow Water Equivalent,AZ,Apache,Black,MAVERICK FORK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=617,09S02S  ,MVFA3,8.0,
snotel,640,1978-10-01,2100-01-01,  34.94,-111.52,   7500,Snow Water Equivalent,AZ,Coconino,Upper Verde,MORMON MOUNTAIN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=640,11R03S  ,MRMA3,8.0,
snotel,1125,2008-06-26,2100-01-01,  34.97,-111.51,   8500,Snow Water Equivalent,AZ,Coconino,Canyon Diablo,MORMON MTN SUMMIT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1125,11R12S  ,MMNA3,8.0,
snotel,1127,2008-06-26,2100-01-01,  33.90,-109.16,   8500,Snow Water Equivalent,AZ,Apache,San Francisco,NUTRIOSO,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1127,09S04S  ,NUTA3,8.0,
snotel,705,1979-10-01,2100-01-01,  34.37,-111.01,   7930,Snow Water Equivalent,AZ,Coconino,Tonto,PROMONTORY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=705,11R10S  ,PROA3,8.0,
snotel,927,1997-09-13,2100-01-01,  35.34,-111.65,   9730,Snow Water Equivalent,AZ,Coconino,Canyon Diablo,SNOWSLIDE CANYON,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=927,11P08S  ,XSCA3,8.0,
snotel,861,1978-10-01,2100-01-01,  35.14,-112.15,   7180,Snow Water Equivalent,AZ,Coconino,Upper Verde,WHITE HORSE LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=861,12P02S  ,WHLA3,8.0,
snotel,866,1983-10-01,2100-01-01,  33.76,-109.48,   7850,Snow Water Equivalent,AZ,Greenlee,Black,WILDCAT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=866,09S18S  ,WCTA3,8.0,
snotel,877,1978-10-01,2100-01-01,  33.81,-110.92,   6900,Snow Water Equivalent,AZ,Gila,Upper Salt,WORKMAN CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=877,10S01S  ,WKMA3,8.0,
snotel,301,1983-10-01,2100-01-01,  41.24,-120.79,   6190,Snow Water Equivalent,CA,Modoc,Upper Pit,ADIN MTN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=301,20H13S  ,ADMC1,8.0,
snotel,356,1979-10-01,2100-01-01,  38.61,-119.92,   8057,Snow Water Equivalent,CA,Alpine,Upper Mokelumne,BLUE LAKES,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=356,19L05S  ,BLAC1,8.0,
snotel,1051,2003-09-21,2100-01-01,  38.72,-119.89,   8129,Snow Water Equivalent,CA,Alpine,Upper Carson,BURNSIDE LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1051,19L41S  ,BSKC1,8.0,
snotel,1067,2004-09-23,2100-01-01,  38.69,-119.99,   8353,Snow Water Equivalent,CA,El Dorado,South Fork American,CARSON PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1067,19L45S  ,CXSC1,8.0,
snotel,391,1978-10-01,2100-01-01,  41.58,-120.30,   7030,Snow Water Equivalent,CA,Modoc,Upper Pit,CEDAR PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=391,20H06S  ,CDRC1,8.0,
snotel,977,1999-10-01,2100-01-01,  41.89,-120.75,   5170,Snow Water Equivalent,CA,Modoc,Goose Lake,CROWDER FLAT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=977,20H02S  ,CRWC1,8.0,
snotel,428,1980-10-01,2100-01-01,  39.33,-120.37,   6855,Snow Water Equivalent,CA,Nevada,North Fork American,CSS LAB,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=428,20K31S  ,CSSC1,8.0,
snotel,446,1979-10-01,2100-01-01,  41.99,-120.18,   7360,Snow Water Equivalent,CA,Modoc,Warner Lakes,DISMAL SWAMP,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=446,20H12S  ,DMLC1,8.0,
snotel,462,1978-10-01,2100-01-01,  38.55,-119.80,   8765,Snow Water Equivalent,CA,Alpine,Upper Carson,EBBETTS PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=462,19L19S  ,EBTC1,8.0,
snotel,463,1978-10-01,2100-01-01,  38.85,-120.08,   7670,Snow Water Equivalent,CA,El Dorado,Lake Tahoe,ECHO PEAK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=463,20L06S  ,ECOC1,8.0,
snotel,473,1978-10-01,2100-01-01,  38.93,-120.05,   6236,Snow Water Equivalent,CA,El Dorado,Lake Tahoe,FALLEN LEAF,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=473,20L10S  ,FLFC1,8.0,
snotel,1049,2003-09-21,2100-01-01,  38.68,-119.96,   8017,Snow Water Equivalent,CA,Alpine,Upper Carson,FORESTDALE CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1049,19L43S  ,FDCC1,8.0,
snotel,508,1978-10-01,2100-01-01,  38.85,-119.94,   7776,Snow Water Equivalent,CA,El Dorado,Lake Tahoe,HAGAN'S MEADOW,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=508,19L03S  ,HGNC1,8.0,
snotel,518,1978-10-01,2100-01-01,  38.92,-119.92,   8582,Snow Water Equivalent,CA,El Dorado,Lake Tahoe,HEAVENLY VALLEY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=518,19L24S  ,HVNC1,8.0,
snotel,1050,2003-09-21,2100-01-01,  38.84,-119.89,   8557,Snow Water Equivalent,CA,Alpine,Upper Carson,HORSE MEADOW,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1050,19L44S  ,HORC1,8.0,
snotel,539,1978-10-01,2100-01-01,  39.45,-120.29,   7003,Snow Water Equivalent,CA,Sierra,Truckee,INDEPENDENCE CAMP,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=539,20K04S  ,ICPC1,8.0,
snotel,540,1979-10-01,2100-01-01,  39.49,-120.28,   6456,Snow Water Equivalent,CA,Sierra,Truckee,INDEPENDENCE CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=540,20K03S  ,ICKC1,8.0,
snotel,541,1978-10-01,2100-01-01,  39.43,-120.31,   8352,Snow Water Equivalent,CA,Nevada,Truckee,INDEPENDENCE LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=541,20K05S  ,ILKC1,8.0,
snotel,574,1988-10-01,2100-01-01,  38.28,-119.61,   9617,Snow Water Equivalent,CA,Mono,West Walker,LEAVITT LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=574,19L38S  ,LELC1,8.0,
snotel,575,1979-10-01,2100-01-01,  38.30,-119.55,   7198,Snow Water Equivalent,CA,Mono,West Walker,LEAVITT MEADOWS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=575,19L08S  ,LVTC1,8.0,
snotel,587,1978-10-01,2100-01-01,  38.44,-119.37,   9233,Snow Water Equivalent,CA,Mono,West Walker,LOBDELL LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=587,19L17S  ,LOBC1,8.0,
snotel,633,1989-10-01,2100-01-01,  38.67,-119.61,   8310,Snow Water Equivalent,CA,Alpine,West Walker,MONITOR PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=633,19L40S  ,MNPC1,8.0,
snotel,697,1979-10-01,2100-01-01,  38.51,-119.63,   7736,Snow Water Equivalent,CA,Alpine,Upper Carson,POISON FLAT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=697,19L06S  ,XXXC1,8.0,
snotel,724,1979-10-01,2100-01-01,  39.00,-120.13,   7689,Snow Water Equivalent,CA,El Dorado,Lake Tahoe,RUBICON #2,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=724,20L02S  ,RUBC1,8.0,
snotel,771,1978-10-01,2100-01-01,  38.31,-119.60,   8827,Snow Water Equivalent,CA,Mono,West Walker,SONORA PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=771,19L07S  ,SRAC1,8.0,
snotel,778,1979-10-01,2100-01-01,  38.67,-119.82,   6115,Snow Water Equivalent,CA,Alpine,Upper Carson,SPRATT CREEK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=778,19L39S  ,SPCC1,8.0,
snotel,784,1979-10-01,2100-01-01,  39.19,-120.26,   8029,Snow Water Equivalent,CA,Placer,Truckee,SQUAW VALLEY G.C.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=784,20K30S  ,SQWC1,8.0,
snotel,1052,2003-09-22,2100-01-01,  38.40,-119.54,   9313,Snow Water Equivalent,CA,Alpine,West Walker,SUMMIT MEADOW,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1052,19L42S  ,SDWC1,8.0,
snotel,809,1979-10-01,2100-01-01,  39.17,-120.15,   6797,Snow Water Equivalent,CA,Placer,Lake Tahoe,TAHOE CITY CROSS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=809,20K27S  ,THOC1,8.0,
snotel,834,1979-10-01,2100-01-01,  39.30,-120.18,   6509,Snow Water Equivalent,CA,Placer,Truckee,TRUCKEE #2,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=834,20K13S  ,TRUC1,8.0,
snotel,846,1978-10-01,2100-01-01,  38.07,-119.23,   9445,Snow Water Equivalent,CA,Mono,East Walker,VIRGINIA LAKES RIDGE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=846,19L13S  ,VGAC1,8.0,
snotel,848,1978-10-01,2100-01-01,  39.14,-120.22,   6655,Snow Water Equivalent,CA,Placer,Lake Tahoe,WARD CREEK #3,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=848,20K25S  ,WRDC1,8.0,
snotel,303,1979-10-01,2100-01-01,  37.33,-105.07,  10000,Snow Water Equivalent,CO,Huerfano,Apishapa,APISHAPA,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=303,05M07S  ,APSC2,8.0,
snotel,1030,2002-08-14,2100-01-01,  40.35,-106.38,  10960,Snow Water Equivalent,CO,Grand,Colorado Headwaters,ARAPAHO RIDGE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1030,06J08S  ,ARPC2,8.0,
snotel,305,1978-10-01,2100-01-01,  39.92,-105.76,   9680,Snow Water Equivalent,CO,Grand,Colorado Headwaters,ARROW,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=305,05K06S  ,AROC2,8.0,
snotel,322,1979-10-01,2100-01-01,  40.31,-105.64,   9500,Snow Water Equivalent,CO,Larimer,Big Thompson,BEAR LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=322,05J39S  ,BLKC2,8.0,
snotel,1061,2004-10-13,2100-01-01,  40.06,-107.01,   9080,Snow Water Equivalent,CO,Routt,Upper Yampa,BEAR RIVER,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1061,07J03S  ,BRRC2,8.0,
snotel,327,1979-10-01,2100-01-01,  37.71,-107.51,  11600,Snow Water Equivalent,CO,Mineral,Rio Grande Headwaters,BEARTOWN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=327,07M32S  ,BRTC2,8.0,
snotel,1041,2002-11-15,2100-01-01,  39.60,-106.51,   8500,Snow Water Equivalent,CO,Eagle,Eagle,BEAVER CK VILLAGE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1041,06K45S  ,BCVC2,8.0,
snotel,335,1978-10-01,2100-01-01,  39.80,-105.78,  11300,Snow Water Equivalent,CO,Grand,Colorado Headwaters,BERTHOUD SUMMIT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=335,05K14S  ,BTSC2,8.0,
snotel,345,1985-10-01,2100-01-01,  39.76,-107.36,  10880,Snow Water Equivalent,CO,Garfield,Colorado Headwaters-Plateau,BISON LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=345,07K12S  ,BLSC2,8.0,
snotel,1161,2010-10-01,2100-01-01,  40.89,-105.66,   8920,Snow Water Equivalent,CO,Larimer,Cache La Poudre,BLACK MOUNTAIN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1161,05J28S  ,     ,8.0,
snotel,369,1979-10-01,2100-01-01,  39.09,-106.54,  10600,Snow Water Equivalent,CO,Lake,Arkansas Headwaters,BRUMLEY,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=369,06K40S  ,BRMC2,8.0,
snotel,938,1998-08-10,2100-01-01,  39.30,-106.11,  11150,Snow Water Equivalent,CO,Park,South Platte Headwaters,BUCKSKIN JOE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=938,06K16S  ,BUCC2,8.0,
snotel,913,1995-09-15,2100-01-01,  40.23,-106.60,   9240,Snow Water Equivalent,CO,Grand,Colorado Headwaters,BUFFALO PARK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=913,06J18S  ,BUFC2,8.0,
snotel,378,1978-10-01,2100-01-01,  39.88,-107.60,   9400,Snow Water Equivalent,CO,Rio Blanco,Upper White,BURRO MOUNTAIN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=378,07K02S  ,BURC2,8.0,
snotel,380,1979-10-01,2100-01-01,  38.89,-106.95,  10160,Snow Water Equivalent,CO,Gunnison,East-Taylor,BUTTE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=380,06L11S  ,BUTC2,8.0,
snotel,386,1978-10-01,2100-01-01,  37.65,-107.81,   8880,Snow Water Equivalent,CO,San Juan,Animas,CASCADE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=386,07M05S  ,CSCC2,8.0,
snotel,387,1990-10-01,2100-01-01,  37.66,-107.80,   8920,Snow Water Equivalent,CO,San Juan,Animas,CASCADE #2,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=387,07M35S  ,CADC2,8.0,
snotel,1101,2007-09-07,2100-01-01,  39.26,-106.63,  10110,Snow Water Equivalent,CO,Pitkin,Roaring Fork,CHAPMAN TUNNEL,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1101,06K46S  ,HAPC2,8.0,
snotel,1059,2004-09-10,2100-01-01,  38.16,-106.60,  10020,Snow Water Equivalent,CO,Saguache,Saguache,COCHETOPA PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1059,06L06S  ,CZSC2,8.0,
snotel,408,1978-10-01,2100-01-01,  40.39,-106.60,   9160,Snow Water Equivalent,CO,Jackson,North Platte Headwaters,COLUMBINE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=408,06J03S  ,COLC2,8.0,
snotel,409,1985-10-01,2100-01-01,  38.42,-108.38,   9400,Snow Water Equivalent,CO,Montrose,Lower Gunnison,COLUMBINE PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=409,08L02S  ,CPSC2,8.0,
snotel,904,1994-08-30,2100-01-01,  37.44,-108.02,  10785,Snow Water Equivalent,CO,La Plata,Middle San Juan,COLUMBUS BASIN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=904,08M10S  ,CMBC2,8.0,
snotel,412,1979-10-01,2100-01-01,  40.21,-105.57,   8600,Snow Water Equivalent,CO,Boulder,St. Vrain,COPELAND LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=412,05J18S  ,COPC2,8.0,
snotel,415,1978-10-01,2100-01-01,  39.49,-106.17,  10550,Snow Water Equivalent,CO,Summit,Blue,COPPER MOUNTAIN,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=415,06K24S  ,CPMC2,8.0,
snotel,426,1985-10-01,2100-01-01,  40.17,-107.06,   9100,Snow Water Equivalent,CO,Rio Blanco,Upper Yampa,CROSHO,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=426,07J04S  ,CRSC2,8.0,
snotel,430,1978-10-01,2100-01-01,  37.21,-105.20,  10500,Snow Water Equivalent,CO,Costilla,Alamosa-Trinchera,CULEBRA #2,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=430,05M03S  ,CULC2,8.0,
snotel,431,1979-10-01,2100-01-01,  37.02,-106.45,  10040,Snow Water Equivalent,CO,Conejos,Rio Chama,CUMBRES TRESTLE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=431,06M22S  ,CUMC2,8.0,
snotel,438,1978-10-01,2100-01-01,  40.81,-105.77,  10220,Snow Water Equivalent,CO,Larimer,Cache La Poudre,DEADMAN HILL,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=438,05J06S  ,DDMC2,8.0,
snotel,457,1979-10-01,2100-01-01,  40.53,-106.78,   8400,Snow Water Equivalent,CO,Routt,Upper Yampa,DRY LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=457,06J01S  ,DRLC2,8.0,
