 Tue Jan 18 13:35:35 PST 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (),WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
679,2010-11-12,,     5.9,    16.7,    -2.2,     4.0,    -2.9,    -0.5,      20,
679,2010-11-13,,     6.3,    17.1,    -1.3,     2.6,    -3.0,    -1.4,      20,
679,2010-11-14,,     6.7,    18.0,     2.6,     3.0,    -2.0,     1.1,      14,
679,2010-11-15,,     6.1,    18.8,     2.6,     7.3,     2.3,     4.3,      14,
679,2010-11-16,,     6.1,    20.9,    -0.1,     4.9,    -0.1,     3.0,      12,
679,2010-11-17,,     6.3,    21.2,    -2.3,     0.8,    -2.3,    -0.4,      14,
679,2010-11-18,,     7.9,    21.7,    -3.1,     0.3,    -3.2,    -1.3,      26,
679,2010-11-19,,     9.0,    22.1,    -3.6,    -2.6,    -4.7,    -3.5,      30,
679,2010-11-20,,     9.5,    23.7,    -3.8,    -1.7,    -4.4,    -3.4,      32,
679,2010-11-21,,     9.5,    23.9,    -5.2,    -1.6,    -5.3,    -3.8,      32,
679,2010-11-22,,    10.1,    24.4,    -7.5,    -4.1,    -7.5,    -5.3,      34,
679,2010-11-23,,    11.1,    24.6,   -14.1,    -6.4,   -14.1,    -8.9,      37,
679,2010-11-24,,    10.9,    24.6,   -18.2,   -13.0,   -19.3,   -15.7,      36,
679,2010-11-25,,    11.4,    25.1,    -8.5,    -5.9,   -18.2,   -12.0,      38,
679,2010-11-26,,    11.8,    25.6,     0.3,     0.3,    -8.5,    -3.3,      51,
679,2010-11-27,,    12.7,    26.9,    -1.7,     0.5,    -1.7,    -0.8,      47,
679,2010-11-28,,    13.0,    27.1,    -4.7,    -1.4,    -4.7,    -3.0,      51,
679,2010-11-29,,    13.1,    27.5,    -5.8,    -3.1,    -6.5,    -4.8,      52,
679,2010-11-30,,    13.7,    28.1,    -1.9,     0.0,    -5.9,    -3.1,      54,
679,2010-12-01,,    15.7,    30.0,    -0.3,     1.0,    -1.9,    -0.2,      60,
679,2010-12-02,,    15.7,    30.3,    -2.2,     2.7,    -2.4,    -0.6,      57,
679,2010-12-03,,    15.6,    30.3,    -3.2,    -1.5,    -3.3,    -2.7,      58,
679,2010-12-04,,    15.2,    30.3,    -4.2,    -0.7,    -4.9,    -3.2,      59,
679,2010-12-05,,    15.2,    30.3,    -2.3,    -1.3,    -5.2,    -3.4,      61,
679,2010-12-06,,    15.0,    30.5,     2.3,     2.6,    -2.5,     0.0,      60,
679,2010-12-07,,    14.7,    30.5,     1.5,     3.0,     0.3,     1.6,      59,
679,2010-12-08,,    15.3,    31.0,     2.1,     4.3,     1.5,     2.4,      59,
679,2010-12-09,,    16.6,    31.6,     0.1,     2.6,     0.0,     0.7,      66,
679,2010-12-10,,    18.4,    32.8,    -2.1,     0.8,    -2.2,    -0.2,      74,
679,2010-12-11,,    18.9,    33.5,    -3.3,     4.0,    -4.0,    -1.6,      76,
679,2010-12-12,,    21.4,    35.8,     5.1,     5.3,    -4.2,    -0.2,      86,
679,2010-12-13,,    21.9,    37.7,     3.6,     5.6,     3.4,     4.3,      88,
679,2010-12-14,,    21.4,    38.4,     1.7,     3.8,     1.1,     2.4,      61,
679,2010-12-15,,    22.6,    39.1,    -3.9,     2.2,    -4.5,    -2.8,      65,
679,2010-12-16,,    23.1,    39.6,    -3.3,    -2.0,    -4.0,    -3.5,      66,
679,2010-12-17,,    23.4,    39.9,    -4.3,    -0.3,    -4.6,    -3.0,      67,
679,2010-12-18,,    23.6,    39.9,    -3.9,    -3.2,    -6.1,    -4.8,      72,
679,2010-12-19,,    23.9,    40.0,    -4.3,    -1.9,    -5.2,    -3.7,      68,
679,2010-12-20,,    24.2,    40.0,    -3.6,    -2.5,    -6.5,    -4.3,      69,
679,2010-12-21,,    24.4,    40.0,    -1.2,    -0.8,    -5.5,    -2.6,      70,
679,2010-12-22,,    24.6,    40.5,    -1.2,     0.7,    -1.5,    -0.8,      70,
679,2010-12-23,,    24.5,    40.6,    -3.1,     1.1,    -4.0,    -1.3,      73,
679,2010-12-24,,    24.6,    40.8,     1.5,     3.9,    -3.6,     0.2,      72,
679,2010-12-25,,    25.6,    41.6,     1.9,     4.0,     0.7,     2.2,      73,
679,2010-12-26,,    25.4,    41.9,    -0.6,     5.6,    -0.6,     2.9,      71,
679,2010-12-27,,    26.1,    42.4,    -4.2,    -0.6,    -4.7,    -2.8,      80,
679,2010-12-28,,    27.6,    43.6,     0.0,     0.0,    -5.1,    -2.7,      88,
679,2010-12-29,,    28.5,    44.3,    -4.5,     0.8,    -4.5,    -0.6,      90,
679,2010-12-30,,    28.9,    44.8,   -11.3,    -4.5,   -11.4,    -7.1,      90,
679,2010-12-31,,    28.9,    45.0,   -11.6,    -3.6,   -13.8,   -10.4,      89,
679,2011-01-01,,    29.0,    45.1,    -7.0,    -5.8,   -12.7,    -9.1,      90,
679,2011-01-02,,    29.0,    45.1,    -1.9,     4.4,    -9.0,    -3.2,      88,
679,2011-01-03,,    29.1,    45.1,    -1.4,     3.0,    -4.0,    -0.9,      86,
679,2011-01-04,,    29.0,    45.1,    -2.3,     6.8,    -4.1,    -1.0,      85,
679,2011-01-05,,    29.1,    45.1,    -3.3,     1.3,    -3.3,    -1.8,      83,
679,2011-01-06,,    30.5,    46.0,     1.0,     1.0,    -3.3,    -0.3,      85,
679,2011-01-07,,    30.7,    46.7,     1.6,     2.4,     1.0,     1.6,      85,
679,2011-01-08,,    30.9,    47.1,    -5.1,     1.7,    -5.2,    -0.3,      83,
679,2011-01-09,,    31.3,    47.4,    -5.9,    -2.3,    -6.8,    -5.0,      86,
679,2011-01-10,,    31.5,    47.4,    -7.4,    -2.8,    -7.5,    -5.8,      91,
679,2011-01-11,,    31.5,    47.4,   -10.5,    -6.8,   -10.8,    -8.4,      88,
679,2011-01-12,,    32.1,    47.4,    -1.8,    -1.5,   -11.0,    -7.3,      90,
679,2011-01-13,,    35.1,    48.1,     1.5,     1.7,    -1.8,     0.5,     105,
679,2011-01-14,,    35.8,    52.5,     2.3,     3.3,     1.0,     2.2,      94,
679,2011-01-15,,    35.5,    53.7,     1.7,     4.3,     1.5,     2.7,      94,
679,2011-01-16,,    38.5,    56.4,     3.9,     4.8,     1.2,     2.9,      88,
679,2011-01-17,,    36.8,    59.7,     2.5,     5.8,     2.5,     4.3,      83,
679,2011-01-18,,    36.2,    61.3,    -2.6,     2.5,    -2.7,    -0.1,-99.9,




