Date,value,flag
2013-03-05 05:15:00.00,-0.002403169,
2013-03-05 05:30:00.00,-0.008544736,
2013-03-05 05:45:00.00,-0.02144907,
2013-03-05 06:00:00.00,-0.01427464,
2013-03-05 06:15:00.00,-0.004375275,
2013-03-05 06:30:00.00,0.01913972,
2013-03-05 06:45:00.00,0.01283804,
2013-03-05 07:00:00.00,0.01625153,
2013-03-05 07:15:00.00,0.1063467,
2013-03-05 07:30:00.00,0.5449361,
2013-03-05 07:45:00.00,1.699282,
2013-03-05 08:00:00.00,4.456269,
2013-03-05 08:15:00.00,6.421431,
2013-03-05 08:30:00.00,7.306766,
2013-03-05 08:45:00.00,7.01197,
2013-03-05 09:00:00.00,9.000909,
2013-03-05 09:15:00.00,10.53711,
2013-03-05 09:30:00.00,11.74598,
2013-03-05 09:45:00.00,12.57805,
2013-03-05 10:00:00.00,14.47833,
2013-03-05 10:15:00.00,16.258,
2013-03-05 10:30:00.00,16.52091,
2013-03-05 10:45:00.00,17.37454,
2013-03-05 11:00:00.00,15.66089,
2013-03-05 11:15:00.00,19.25377,
2013-03-05 11:30:00.00,22.7798,
2013-03-05 11:45:00.00,23.63075,
2013-03-05 12:00:00.00,23.1588,
2013-03-05 12:15:00.00,27.08466,
2013-03-05 12:30:00.00,27.32587,
2013-03-05 12:45:00.00,28.28417,
2013-03-05 13:00:00.00,29.89361,
2013-03-05 13:15:00.00,28.06842,
2013-03-05 13:30:00.00,28.40069,
2013-03-05 13:45:00.00,26.51304,
2013-03-05 14:00:00.00,25.17715,
2013-03-05 14:15:00.00,22.08918,
2013-03-05 14:30:00.00,19.75898,
2013-03-05 14:45:00.00,15.44651,
2013-03-05 15:00:00.00,13.41082,
2013-03-05 15:15:00.00,11.42675,
2013-03-05 15:30:00.00,11.35126,
2013-03-05 15:45:00.00,10.35504,
2013-03-05 16:00:00.00,9.499936,
2013-03-05 16:15:00.00,8.681861,
2013-03-05 16:30:00.00,9.155877,
2013-03-05 16:45:00.00,9.685519,
2013-03-05 17:00:00.00,8.757034,
2013-03-05 17:15:00.00,7.836657,
2013-03-05 17:30:00.00,5.375252,
2013-03-05 17:45:00.00,0.8973279,
2013-03-05 18:00:00.00,0.4302087,
2013-03-05 18:15:00.00,0.190929,
2013-03-05 18:30:00.00,0.0967478,
2013-03-05 18:45:00.00,0.04239228,
2013-03-05 19:00:00.00,0.02797315,
2013-03-05 19:15:00.00,0.01931757,
2013-03-05 19:30:00.00,0.01959178,
2013-03-05 19:45:00.00,0.01753149,
2013-03-05 20:00:00.00,0.01880197,
2013-03-05 20:15:00.00,0.01930166,
2013-03-05 20:30:00.00,0.01805991,
2013-03-05 20:45:00.00,0.0179752,
2013-03-05 21:00:00.00,0.01767847,
2013-03-05 21:15:00.00,0.01796291,
2013-03-05 21:30:00.00,0.01994487,
2013-03-05 21:45:00.00,0.01959037,
2013-03-05 22:00:00.00,0.02197329,
2013-03-05 22:15:00.00,0.02221995,
2013-03-05 22:30:00.00,0.02304659,
2013-03-05 22:45:00.00,0.02119261,
2013-03-05 23:00:00.00,0.01952352,
2013-03-05 23:15:00.00,0.02021983,
2013-03-05 23:30:00.00,0.02199405,
2013-03-05 23:45:00.00,0.02162379,
2013-03-06 00:00:00.00,0.02151397,
2013-03-06 00:15:00.00,0.02170739,
2013-03-06 00:30:00.00,0.02160347,
2013-03-06 00:45:00.00,0.02121693,
2013-03-06 01:00:00.00,0.01947313,
2013-03-06 01:15:00.00,0.01862856,
2013-03-06 01:30:00.00,0.01818337,
2013-03-06 01:45:00.00,0.01809037,
2013-03-06 02:00:00.00,0.01889725,
2013-03-06 02:15:00.00,0.01973085,
2013-03-06 02:30:00.00,0.02096173,
2013-03-06 02:45:00.00,0.02080198,
2013-03-06 03:00:00.00,0.02065087,
2013-03-06 03:15:00.00,0.01985572,
2013-03-06 03:30:00.00,0.02055262,
2013-03-06 03:45:00.00,0.01988186,
2013-03-06 04:00:00.00,0.01861294,
2013-03-06 04:15:00.00,0.01890637,
2013-03-06 04:30:00.00,0.01865769,
2013-03-06 04:45:00.00,0.02007267,
2013-03-06 05:00:00.00,0.01883994,
2013-03-06 05:15:00.00,0.01913285,
2013-03-06 05:30:00.00,0.01679191,
2013-03-06 05:45:00.00,0.01205558,
2013-03-06 06:00:00.00,0.009100807,
2013-03-06 06:15:00.00,0.007076398,
2013-03-06 06:30:00.00,0.0484619,
2013-03-06 06:45:00.00,0.03511151,
2013-03-06 07:00:00.00,0.04067623,
2013-03-06 07:15:00.00,0.04550605,
2013-03-06 07:30:00.00,0.08949745,
2013-03-06 07:45:00.00,0.5389675,
2013-03-06 08:00:00.00,1.074289,
2013-03-06 08:15:00.00,2.189199,
2013-03-06 08:30:00.00,3.860515,
2013-03-06 08:45:00.00,4.054249,
2013-03-06 09:00:00.00,4.750122,
2013-03-06 09:15:00.00,6.469419,
2013-03-06 09:30:00.00,14.71493,
2013-03-06 09:45:00.00,28.22613,
2013-03-06 10:00:00.00,24.78443,
2013-03-06 10:15:00.00,24.80529,
2013-03-06 10:30:00.00,25.56619,
2013-03-06 10:45:00.00,23.21686,
2013-03-06 11:00:00.00,23.49545,
2013-03-06 11:15:00.00,21.33975,
2013-03-06 11:30:00.00,16.94343,
2013-03-06 11:45:00.00,7.750304,
2013-03-06 12:00:00.00,2.650225,
2013-03-06 12:15:00.00,4.178494,
2013-03-06 12:30:00.00,22.69489,
2013-03-06 12:45:00.00,18.81871,
2013-03-06 13:00:00.00,9.80754,
2013-03-06 13:15:00.00,5.82596,
2013-03-06 13:30:00.00,23.7114,
2013-03-06 13:45:00.00,12.81975,
2013-03-06 14:00:00.00,14.92416,
2013-03-06 14:15:00.00,20.48131,
2013-03-06 14:30:00.00,15.16166,
2013-03-06 14:45:00.00,9.206846,
2013-03-06 15:00:00.00,4.538922,
2013-03-06 15:15:00.00,6.141287,
2013-03-06 15:30:00.00,8.700143,
2013-03-06 15:45:00.00,6.457486,
2013-03-06 16:00:00.00,2.368129,
2013-03-06 16:15:00.00,3.68995,
2013-03-06 16:30:00.00,4.795621,
2013-03-06 16:45:00.00,4.303135,
2013-03-06 17:00:00.00,4.25277,
2013-03-06 17:15:00.00,4.740854,
2013-03-06 17:30:00.00,3.677777,
2013-03-06 17:45:00.00,0.3931167,
2013-03-06 18:00:00.00,0.2488272,
2013-03-06 18:15:00.00,0.227811,
2013-03-06 18:30:00.00,0.3435143,
2013-03-06 18:45:00.00,0.2256962,
2013-03-06 19:00:00.00,0.06088061,
2013-03-06 19:15:00.00,0.03325024,
2013-03-06 19:30:00.00,0.03813377,
2013-03-06 19:45:00.00,0.05032629,
2013-03-06 20:00:00.00,0.04933076,
2013-03-06 20:15:00.00,0.04473782,
2013-03-06 20:30:00.00,0.03087076,
2013-03-06 20:45:00.00,0.01960459,
2013-03-06 21:00:00.00,0.01431277,
2013-03-06 21:15:00.00,0.01820782,
2013-03-06 21:30:00.00,0.0131546,
2013-03-06 21:45:00.00,0.008511026,
2013-03-06 22:00:00.00,0.020677,
2013-03-06 22:15:00.00,0.01585517,
2013-03-06 22:30:00.00,0.01420949,
2013-03-06 22:45:00.00,0.009458727,
2013-03-06 23:00:00.00,0.01027478,
2013-03-06 23:15:00.00,0.004312473,
2013-03-06 23:30:00.00,-0.002322472,
2013-03-06 23:45:00.00,0.003864717,
2013-03-07 00:00:00.00,0.01794568,
2013-03-07 00:15:00.00,0.01070487,
2013-03-07 00:30:00.00,0.01629039,
2013-03-07 00:45:00.00,0.0134066,
2013-03-07 01:00:00.00,0.008839834,
2013-03-07 01:15:00.00,0.01041894,
2013-03-07 01:30:00.00,0.007836091,
2013-03-07 01:45:00.00,0.006078296,
2013-03-07 02:00:00.00,0.001458124,
2013-03-07 02:15:00.00,0.001577031,
2013-03-07 02:30:00.00,0.004965009,
2013-03-07 02:45:00.00,0.00185588,
2013-03-07 03:00:00.00,-0.0009356048,
2013-03-07 03:15:00.00,-0.0036739,
2013-03-07 03:30:00.00,-0.004008817,
2013-03-07 03:45:00.00,-0.004616868,
2013-03-07 04:00:00.00,-0.00681444,
2013-03-07 04:15:00.00,-0.008068275,
2013-03-07 04:30:00.00,-0.008132333,
2013-03-07 04:45:00.00,-0.003129609,
2013-03-07 05:00:00.00,-0.003276899,
2013-03-07 05:15:00.00,-0.006165476,
2013-03-07 05:30:00.00,0.000724215,
2013-03-07 05:45:00.00,-0.0001575349,
2013-03-07 06:00:00.00,-0.005479721,
2013-03-07 06:15:00.00,-0.004170774,
2013-03-07 06:30:00.00,0.0182613,
2013-03-07 06:45:00.00,0.02386972,
2013-03-07 07:00:00.00,0.02553407,
2013-03-07 07:15:00.00,0.06121352,
2013-03-07 07:30:00.00,0.363918,
2013-03-07 07:45:00.00,1.16024,
2013-03-07 08:00:00.00,2.416857,
2013-03-07 08:15:00.00,3.914105,
2013-03-07 08:30:00.00,5.51544,
2013-03-07 08:45:00.00,12.20821,
2013-03-07 09:00:00.00,19.96388,
2013-03-07 09:15:00.00,23.52245,
2013-03-07 09:30:00.00,26.62758,
2013-03-07 09:45:00.00,25.02571,
2013-03-07 10:00:00.00,24.0211,
