siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region
amfi,Snake River at Neeley; ID,ID,42.767518,-112.879474,4242,US/Mountain,,13077000,ft,0,Bill_KML,,,stream,usgs/pnro,PN
anad,WASHITA RIVER NEAR ANADARKO; OKLAHOMA,OK,35.085,-98.24305,,,,,,0,,,,stream,,GP
ancr,ANCHOR RESERVOIR; SOUTH FORK OWL CREEK; WYOMING,WY,43.66389,-108.82417,,,,,,0,,,,reservoir,WYAO,GP
animasriverabovetacoma,ANIMAS RIVER AT TALL TIMBER RESORT NEAR ROCKWOOD,CO,37.5667,-107.775,7520,US/Mountain,,,,0,,,,stream,,UC
animasriveratdurango,ANIMAS RIVER AT DURANGO; CO.,CO,37.2669,-107.8797,6501.57,US/Mountain,,,,0,,,,stream,,UC
animasriveratfarmington,ANIMAS RIVER AT FARMINGTON; NM,NM,36.7214,-108.2014,5280,US/Mountain,,,,0,,,,stream,,UC
animasriverathowardsville,ANIMAS RIVER AT HOWARDSVILLE; CO.,CO,37.8169,-107.5989,9616.98,US/Mountain,,,,0,,,,stream,,UC
animasriveratsilverton,ANIMAS RIVER AT SILVERTON; CO.,CO,37.8003,-107.6586,9290,US/Mountain,,,,0,,,,stream,,UC
animasriverbelowdpp,ANIMAS RIVER BELOW DPP,CO,37.2492,-107.8725,,US/Mountain,,,,0,,,,stream,,UC
animasriverbelowsilverton,ANIMAS RIVER BELOW SILVERTON; CO,CO,37.7903,-107.6669,9200,US/Mountain,,,,0,,,,stream,,UC
animasrivernearcedarhill,ANIMAS RIVER NEAR CEDAR HILL; N. MEX.,CO,37.0381,-107.8736,5960,US/Mountain,,,,0,,,,stream,,UC
anvn,DRI - Antelope Valley; Nevada Weather Station,NV,40.093889,-117.168889,1484.6808,US/Pacific,6/11/2011,,m,0,agrimet_map,,,agrimet,dri,PN
apishapaswe,APISHAPA,CO,37.33,-105.0675,10000,US/Mountain,,,,0,,,,snotel,,UC
apsc,APISHAPA; COLORADO,CO,37.33333,-105.06667,9910,,,,,0,,,,snotel,,GP
arac,ARAPAHOE RIDGE; COLORADO,CO,40.35,-106.38333,10960,,,,,0,,,,snotel,,GP
arao,Aurora; Oregon AgriMet Weather Station,OR,45.28194,-122.75027,42.67,US/Pacific,10/22/1998,,m,0,agrimet_map,,,agrimet,pnro,PN
arbuck,ARBUCKLE DAM (LAKE OF THE ARBUCKLES); OKLAHOMA,OK,34.43056,-97.03056,,,,,,0,,,,reservoir,OTAO,GP
argy,ARAGON DITCH; WYOMING,WY,43.19167,-108.78389,,,,,,0,,,,canal,,GP
arkavoco,ARKANSAS RIVER NEAR AVONDALE; COLORADO,CO,38.24805,-104.39861,,,,,,0,,,,stream,,GP
arkcanco,ARKANSAS RIVER AT CANYON CITY; COLORADO,CO,38.425,-105.26167,,,,,,0,,,,stream,,GP
arkgraco,ARKANSAS RIVER AT GRANADA; COLORADO,CO,38.09555,-102.31028,,,,,,0,,,,stream,,GP
arkgrnco,ARKANSAS RIVER AT GRANITE; COLORADO,CO,39.04278,-106.26527,,,,,,0,,,,stream,,GP
arknatco,ARKANSAS RIVER NEAR NATHROP; COLORADO,CO,38.65223,-106.05056,,,,,,0,,,,stream,,GP
arknepco,ARKANSAS RIVER NEAR NEPESTA; COLORADO,CO,38.18417,-104.17278,,,,,,0,,,,stream,,GP
arkporco,ARKANSAS RIVER AT PORTLAND; COLORADO,CO,38.38834,-105.01556,,,,,,0,,,,stream,,GP
arkpueco,ARKANSAS RIVER ABOVE PUEBLO; COLORADO,CO,38.27139,-104.71833,,,,,,0,,,,stream,,GP
arksalco,ARKANSAS RIVER AT SALIDA; COLORADO,CO,38.54583,-106.01,,,,,,0,,,,stream,,GP
arkwelco,ARKANSAS RIVER NEAR WELLSVILLE; COLORADO,CO,38.50278,-105.93972,,,,,,0,,,,stream,,GP
armt,ATASCOSA RIVER NEAR MCCOY; TEXAS,TX,28.84583,-98.33611,,,,,,0,,,,stream,,GP
arne,LAKE ALICE RESERVOIR ELEVATION; NEBRASKA,NE,41.98667,-103.63223,,,,,,0,,,,reservoir,WYAO,GP
arrowswe,ARROW,CO,39.9167,-105.75,9680,US/Mountain,,,,0,,,,snotel,,UC
arwt,ATASCOSA RIVER AT WHITSETT; TEXAS,TX,28.62194,-98.28111,,,,,,0,,,,stream,,GP
asnc,INDEPENDENCE PASS; COLORADO,CO,39.06667,-106.6,11720,,,,,0,,,,snotel,,GP
avalon,AVALON RESERVOIR,NM,32.5009,-104.2503,3194,US/Mountain,,,,0,,,,reservoir,,UC
azoteatunnel,AZOTEA TUNNEL OUTLET NEAR CHAMA; NM,NM,34.01,-106.41,,US/Mountain,,,,0,,,,diversion,,UC
babm,ST. MARY RIVER NEAR BABB; MONTANA,MT,48.83333,-113.41888,,,,,,0,,,,stream,,GP
back,BATTLE CREEK NEAR CHINOOK; MONTANA,MT,48.58444,-109.09861,,,,,,0,,,,stream,,GP
badm,BADGER PASS; MONTANA,MT,48.13334,-113.03333,6900,,,,,0,,,,snotel,,GP
balm,BEAVERHEAD RIVER AT ANDERSON LANE; MONTANA,MT,48.30555,-112.56223,,,,,,0,,,,stream,,GP
bane,BARTLEY CANAL; NEBRASKA,NE,40.22361,-100.38223,,,,,,0,,,,canal,,GP
bano,Bandon; Oregon AgriMet Weather Station,OR,43.09111,-124.41722,24.38,US/Pacific,5/1/1985,,m,0,agrimet_map,,,agrimet,pnro,PN
basicmanagementinc,Basic Management Inc.,NV,36.05,-114.8,,US/Pacific,,,,0,,,,diversion,,LC
batemanswe,BATEMAN,NM,36.5167,-106.3167,9300,US/Mountain,,,,0,,,,snotel,,UC
bato,Beatty; Oregon AgriMet Weather Station,OR,42.47805,-121.27388,1316.74,US/Pacific,10/19/2004,,m,0,agrimet_map,,,agrimet,pnro,PN
battlemountainswe,BATTLE MOUNTAIN,WY,41.05,-107.2667,7440,US/Mountain,,,,0,,,,snotel,,UC
bawne,BARTLEY CANAL; WASTEWAY; NEBRASKA,NE,40.265,-100.04583,,,,,,0,,,,canal,,GP
bbblc,Colorado River Below Big Bend,AZ,35.0917,-114.6328,488.4,US/Mountain,,,,0,,,,stream,,LC
bbne,BOX BUTTE DAM; NEBRASKA,NE,42.45834,-103.06667,,,,,,0,,,,reservoir,NKAO,GP
bbr,BUFFALO BILL RESERVOIR ON SHOSHONE RIVER; WYOMING,WY,44.50139,-109.18333,5360,,2/10/1989,,,0,,,,reservoir,WYAO,GP
bbrnfd,BUFFALO BILL RESERVOIR - NORTH FORK DIKE; WYOMING,WY,44.49167,-109.29166,,,,,,0,,,,reservoir,,GP
bbrsfd,BUFFALO BILL RESERVOIR - SOUTH FORK DIKE; WYOMING,WY,44.4425,-109.21249,,,,,,0,,,,reservoir,,GP
bbtm,BOULDER RIVER AT BIG TIMBER; MT,MT,45.83416,-109.93806,,,,,,0,,,,stream,,GP
bbws,BUFFALO BILL WEATHER STATION; WYOMING,WY,44.46778,-109.16722,5357,,,,,0,,,,weather,,GP
bbwy,BIGHORN RIVER AT BASIN; WYOMING,WY,44.38334,-108.03555,,,,,,0,,,,stream,,GP
bcbcne,BEAVER CREEK AT BEAVER CITY; NEBRASKA,NE,40.12,-99.89222,,,,,,0,,,,stream,,GP
bcbm,BEAVER CREEK @ RESERVATION BOUNDARY; MONTANA,MT,48.22167,-109.65083,,,,,,0,,,,stream,,GP
bccm,BIG COULEE BELOW BEALE CANAL; MT,MT,47.91695,-112.61861,,,,,,0,,,,stream,,GP
bchm,BEAVER CREEK NEAR HINSDALE; MONTANA,MT,48.41945,-107.17056,,,,,,0,,,,stream,,GP
bcib,BATTLE CREEK AT INTERNATIONAL BOUNDARY; MONTANA,MT,49.00195,-109.42166,,,,,,0,,,,stream,,GP
bclm,BIG COULEE LOWER; MT,MT,47.51778,-111.89,,,,,,0,,,,stream,,GP
bcwy,BLUFF CANAL; WYOMING,WY,43.87278,-108.13445,,,,,,0,,,,canal,,GP
bdcm,BADGER CREEK BLW FOUR HORNS CANAL NR BROWNING; MT,MT,48.37,-112.80195,,,,,,0,,,,stream,,GP
bdne,BARTLEY DIVERSION; NEBRASKA,NE,40.22917,-100.38333,,,,,,0,,,,diversion,,GP
beam,BEAGLE SPRINGS; MONTANA,MT,44.46667,-112.98333,8850,,,,,0,,,,snotel,,GP
beartownswe,BEARTOWN,CO,37.7167,-107.5167,11600,US/Mountain,,,,0,,,,snotel,,UC
beavercreeknearnorwood,BEAVER CREEK NEAR NORWOOD; CO,CO,37.97,-108.195,8010,US/Mountain,,,,0,,,,stream,,UC
beaverdamsswe,BEAVER DAMS,UT,39.1333,-111.55,8000,US/Mountain,,,,0,,,,snotel,,UC
beaverdivideswe,BEAVER DIVIDE,UT,40.6167,-111.0667,8280,US/Mountain,,,,0,,,,snotel,,UC
belindmt,FORT BELKNAP INDIAN CANAL MAIN DIVERSION; MONTANA,MT,48.59639,-109.10027,,,,,,0,,,,canal,,GP
benlomondpeakswe,BEN LOMOND PEAK,UT,41.3667,-111.95,8000,US/Mountain,,,,0,,,,snotel,,UC
benlomondtrailswe,BEN LOMOND TRAIL,UT,41.3833,-111.9167,6000,US/Mountain,,,,0,,,,snotel,,UC
ber,Lake Berryessa And Monticello Dam,CA,38.513,-122.104,456,US/Pacific,,,,0,,,,reservoir,,MP
berthoudsummitswe,BERTHOUD SUMMIT,CO,39.8,-105.7833,11300,US/Mountain,,,,0,,,,snotel,,UC
berthspc,BERTHOUD SUMMIT; COLORADO,CO,39.8,-105.76667,11320,,,,,0,,,,snotel,,GP
bevm,BEAVER CREEK; MONTANA,MT,44.95,-111.35,7850,,,,,0,,,,snotel,,GP
bevr,BEAVER CREEK RESERVOIR NEAR HAVRE; MONTANA,MT,43.66389,-108.82417,,,,,,0,,,,reservoir,,GP
bewo,Bend; Oregon AgriMet Weather Station,OR,44.0475,-121.32027,1103.38,US/Pacific,5/1/2003,,m,0,agrimet_map,,,agrimet,pnro,PN
bfam,BLACKFEET AGRIMET STATION NR SEVILLE COLONY; MONTANA,MT,48.675,-112.58889,3905,,,,,0,,,,agrimet,,GP
bfce,BELLE FOURCHE INLET CANAL EAST; SOUTH DAKOTA,SD,44.70139,-103.73333,,,,,,0,,,,canal,,GP
bfgi,Boise Fairgrounds Weather Station,ID,43.65303,-116.27417,800,US/Mountain,8/15/2013,,m,0,agrimet_map,,,agrimet,pnro,PN
bfr,BELLE FOURCHE RESERVOIR NR BELLE FOURCHE; S. DAKOTA,SD,44.73667,-103.67416,,,,,,0,,,,reservoir,DKAO,GP
bfti,Snake River near Blackfoot; ID,ID,43.12513846,-112.518792,4400,US/Mountain,00:00.0,13069500,ft,0,Bill_KML,,,stream,usgs/pnro,PN
bftm,BIG FLAT NEAR TURNER WEATHER STATION; MONTANA,MT,48.83556,-108.56389,3103,,,,,0,,,,agrimet,,GP
bfwy,BELLE FOURCHE RVR @ WYOMING-SOUTH DAKOTA STATE LINE,WY,44.74972,-104.04694,,,,,,0,,,,stream,,GP
bgbm,BEAVERHEAD RIVER AT GIEM BRIDGE; MONTANA,MT,45.47361,-112.36305,,,,,,0,,,,stream,,GP
bgsw,BIG GOOSE; WYOMING,WY,44.6,-107.21667,7760,,,,,0,,,,snotel,,GP
bhdm,BIG HOLE RIVER AT MAIDEN ROCK NEAR DIVIDE; MONTANA,MT,46.21806,-112.655,,,,,,0,,,,stream,,GP
bhdy,BIGHORN RIVER BLW BIGHORN CANAL DIVERSION DAM; WY,WY,43.93556,-108.0375,,,,,,0,,,,stream,,GP
bhgm,BIG HOLE RIVER NEAR GLEN; MONTANA,MT,45.44056,-112.55556,,,,,,0,,,,stream,,GP
bhmt,BIGHORN RIVER ABOVE TULLOCK CREEK NEAR BIGHORN; MT,MT,46.12472,-107.46833,,,,,,0,,,,stream,,GP
bhmw,BLACKHALL MOUNTAIN; WYOMING,WY,41.00083,-106.0675,9820,,,,,0,,,,snotel,,GP
bhr,BIGHORN LAKE; MONTANA,MT,45.30722,-107.95694,,,,,,0,,,,reservoir,WYAO,GP
bhrw,BIGHORN RIVER NEAR WORLAND; WYOMING,WY,44.01472,-107.96889,,,,,,0,,,,stream,,GP
bhsx,BIGHORN RIVER AND BIA CANAL NEAR ST. XAVIER; MONTANA,MT,45.31667,-107.91805,,,,,,0,,,,reservoir,,GP
bhwm,BIG HOLE RIVER BELOW MUDD CREEK NEAR WISDOM; MT,MT,45.8075,-113.3125,,,,,,0,,,,stream,,GP
bhwy,BIG HORN CANAL; WYOMING,WY,43.94528,-108.01694,,,,,,0,,,,canal,,GP
biblc,Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,,US/Mountain,,,,0,,,,stream,,LC
bigbendwaterdistrict,Big Bend Water District,NV,35.1,-114.6,,US/Pacific,,,,0,,,,diversion,,LC
bigflatswe,BIG FLAT,UT,38.3,-112.35,10290,US/Mountain,,,,0,,,,snotel,,UC
bigsandy,BIG SANDY RESERVOIR,WY,42.1457,-109.2543,6757.5,US/Mountain,,,,0,,,,reservoir,,UC
bigsandyopeningswe,BIG SANDY OPENING,WY,42.65,-109.2667,9080,US/Mountain,,,,0,,,,snotel,,UC
bigsandyrivernearfarson,BIG SANDY RIVER ABOVE BIG SANDY RESERVOIR NEAR FARSON,WY,42.3169,-109.485,6770,US/Mountain,,,,0,,,,stream,,UC
bigsaowy,BIG SANDY OPENING; WY,WY,42.63334,-109.26667,9100,,,,,0,,,,snotel,,GP
bigthom,BIG THOMPSON RIVER; CO,CO,40.35444,-104.75972,,,,,,0,,,,stream,,GP
bil,YELLOWSTONE RIVER AT BILLINGS; MT,MT,45.79667,-108.47,,,,,,0,,,,stream,,GP
billwilliamsriveratlakehavasu,Bill Williams River at Lake Havasu,AZ,34.2308,-113.6081,507,US/Mountain,,,,0,,,,stream,,LC
bisonlakeswe,BISON LAKE,CO,39.7667,-107.35,10880,US/Mountain,,,,0,,,,snotel,,UC
bkvo,Baker Valley; Oregon Agrimet Weather Station,OR,44.88277,-117.96277,1042.42,US/Pacific,4/1/2001,,m,0,agrimet_map,,,agrimet,pnro,PN
blackflatumckswe,BLACK FLAT-U.M. CK,UT,38.6833,-111.5833,9400,US/Mountain,,,,0,,,,snotel,,UC
blackriveratmalaga,BLACK RIVER AT MALAGA; NM,NM,32.2409,-104.0647,,US/Mountain,,,,0,,,,stream,,UC
blacksforkatlittleamerica,BLACKS FORK AT LITTLE AMERICA,WY,41.5461,-104.6928,,US/Mountain,,,,0,,,,stream,,UC
blackspringswashnrmexicansprings,BLACK SPRINGS WASH NR MEXICAN SPRINGS; N MEX,NM,35.7611,-108.8167,6280,US/Mountain,,,,0,,,,stream,,UC
blancodiversion,BLANCO DIVERSION NEAR PAGOSA SPRINGS,CO,37.2036,-106.8097,,US/Mountain,,,,0,,,,diversion,,UC
blay,BULL LAKE CREEK ABOVE BULL LAKE RESERVOIR; WYOMING,WY,43.17694,-109.20222,,,,,,0,,,,stream,,GP
blbm,BLACK BEAR; MONTANA,MT,44.5,-111.11667,7950,,,,,0,,,,snotel,,GP
blck,BULL LAKE CREEK BLW BULL LAKE RES NR LENORE; WYOMING,WY,43.2425,-109.02222,,,,,,0,,,,stream,,GP
blcu,UCC - Blue Creek; Utah Weather Station,UT,41.962167,-112.491167,1575.816,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN
bldm,BOULDER RIVER NEAR BOULDER; MT,MT,46.21111,-112.09084,,,,,,0,,,,stream,,GP
bldy,BALD MOUNTAIN; WYOMING,WY,44.8,-107.85,9380,,,,,0,,,,snotel,,GP
blindbullsumswe,BLIND BULL SUM,WY,42.95,-110.6,8900,US/Mountain,,,,0,,,,snotel,,UC
blkc,BEAR LAKE; COLORADO,CO,40.3,-105.63333,9500,,,,,0,,,,snotel,,GP
blom,BLOODY DICK; MONTANA,MT,45.16667,-113.5,7550,,,,,0,,,,snotel,,GP
blou,UCC - BearLake; Utah Weather Station,UT,41.933628,-111.420137,1979.9808,US/Mountain,,,ft,0,,,,agrimet,ucc,PN
blr,BULL LAKE RESERVOIR ON BULL LAKE CREEK; WYOMING,WY,43.20972,-109.04166,,,,,,0,,,,reservoir,WYAO,GP
bltw,BEARTOOTH LAKE; WYOMING,WY,44.78333,-109.56667,9275,,,,,0,,,,snotel,,GP
bludilco,BLUE RIVER BELOW DILLON; COLORADO,CO,39.62555,-106.06583,,,,,,0,,,,stream,,GP
bluemesa,BLUE MESA RESERVOIR,CO,38.2714,-107.205,7519.4,US/Mountain,,,,0,,,,reservoir,,UC
bluemesaplant,BLUE MESA POWER PLANT,CO,38.453539,-107.335972,,US/Mountain,,,,0,,,,powerplant,,UC
blugreco,BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR; CO,CO,39.88028,-106.33334,,,,,,0,,,,stream,,GP
blwy,BLACKWATER; WYOMING,WY,44.38334,-109.8,9780,,,,,0,,,,snotel,,GP
bmplc,Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,,US/Mountain,,,,0,,,,stream,,LC
bnblc,Colorado River Below Needles Bridge,CA,34.8181,-114.5908,,US/Pacific,,,,0,,,,stream,,LC
bndw,Bonneville Dam AgriMet; Washington AgriMet Weather Station,WA,45.64777,-121.93111,24.38,US/Pacific,4/13/2002,,m,0,agrimet_map,,,agrimet,pnro,PN
boblc,Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,,US/Mountain,,,,0,,,,stream,,LC
bocm,BROKEN-O CANAL; MONTANA,MT,47.52055,-112.24694,,,,,,0,,,,canal,,GP
boii,Boise; Idaho AgriMet Weather Station,ID,43.60027,-116.17694,829.06,US/Mountain,7/26/1995,,m,0,agrimet_map,,,agrimet,pnro,PN
bomm,BOULDER MOUNTAIN; MONTANA,MT,46.56667,-111.3,7950,,,,,0,,,,snotel,,GP
bomt,BROKEN O RANCH; MONTANA WEATHER STATION,MT,47.52055,-112.24694,3890,,,,,0,,,,agrimet,,GP
bonc,BONNY RESERVOIR; COLORADO,CO,39.62333,-102.17333,,,,,,0,,,,reservoir,NKAO,GP
bouldercanyonproject,Boulder Canyon Project,NV,36.01,-114.73,,US/Pacific,,,,0,,,,diversion,,LC
boutunco,CHARLES H. BOUSTEAD TUNNEL; CO,CO,39.27778,-106.42777,,,,,,0,,,,diversion,,GP
boxcreekswe,BOX CREEK,UT,38.5,-112.0167,9800,US/Mountain,,,,0,,,,snotel,,UC
boxm,BOX CANYON; MONTANA,MT,45.28333,-110.25,6700,,,,,0,,,,snotel,,GP
boyr,BOYSEN RESERVOIR; THERMOPOLIS; WYOMING,WY,43.4,-108.17694,,,,,,0,,,,reservoir,WYAO,GP
boyw,BOYSEN WEATHER STATION NR THERMOPOLIS; WYOMING,WY,43.40417,-108.17333,4710,,,,,0,,,,weather,,GP
bozm,BOZEMAN MONTANA WEATHER STATION  6W,MT,45.67361,-111.15,4775,,,,,0,,,,agrimet,,GP
brantley,BRANTLEY LAKE,NM,32.3248,-104.2243,3202.5,US/Mountain,,,,0,,,,reservoir,,UC
brbm,BELLY RIVER @ INTERNATIONAL BOUNDARY; MONTANA,MT,48.99722,-113.68055,,,,,,0,,,,stream,,GP
brcm,BRACKETT CREEK; MONTANA,MT,45.88334,-110.93333,7320,,,,,0,,,,snotel,,GP
brcw,BURROUGHS CREEK; WYOMING,WY,43.7,-109.66666,8750,,,,,0,,,,snotel,,GP
brd,Beardsley Dam And Reservoir,CA,38.203,-120.075,3398,US/Pacific,,,,0,,,,reservoir,,MP
brdm,BEAVERHEAD RIVER AT DILLON; MONTANA,MT,46.21806,-112.655,,,,,,0,,,,stream,,GP
brgm,BUFFALO RAPIDS WEATHER STATION NEAR GLENDIVE; MT,MT,46.98778,-104.80305,2140,,,,,0,,,,agrimet,,GP
brightonswe,BRIGHTON,UT,40.6,-111.6167,8750,US/Mountain,,,,0,,,,snotel,,UC
brju,UCC - Beryl Junction; Utah Weather Station,UT,37.7196,-113.7020167,1580.9976,US/Mountain,,,ft,0,,,,agrimet,ucc,PN
brjw,BURGESS JUNCTION; WYOMING,WY,44.78333,-107.53333,7880,,,,,0,,,,snotel,,GP
brko,Brookings; Oregon AgriMet Weather Station,OR,42.03,-124.24083,24.38,US/Pacific,9/27/1999,,m,0,agrimet_map,,,agrimet,pnro,PN
brmc,BRUMLEY; COLORADO,CO,39.08333,-106.53333,10600,,,,,0,,,,snotel,,GP
broklnwy,BROOKLYN LAKE; WY,WY,41.36666,-106.23333,10220,,,,,0,,,,snotel,,GP
brookeconsolidatedwaterutilities,Brooke - Consolidated Water Utilities,AZ,34.3,-114.13,,US/Mountain,,,,0,,,,diversion,,LC
brownduckswe,BROWN DUCK,UT,40.5833,-110.5833,10600,US/Mountain,,,,0,,,,snotel,,UC
brtb,BEAVERHEAD RIVER AT TWIN BRIDGES; MT,MT,45.54694,-112.33723,,,,,,0,,,,stream,,GP
brtm,BUFFALO RAPIDS WEATHER STATION NEAR TERRY; MT,MT,46.77806,-105.29945,2270,,,,,0,,,,agrimet,,GP
brumleyswe,BRUMLEY,CO,39.0833,-106.5333,10600,US/Mountain,,,,0,,,,snotel,,UC
bsck,BIG SANDY CREEK NEAR HAVRE; MONTANA,MT,48.55639,-109.80806,,,,,,0,,,,stream,,GP
bsdy,BONE SPRINGS DIVIDE; WYOMING,WY,44.68333,-107.58334,9350,,,,,0,,,,snotel,,GP
btabesco,BIG THOMPSON RIVER ABOVE LAKE ESTES; CO,CO,40.37833,-106.48638,,,,,,0,,,,stream,,GP
btblesco,BIG THOMPSON RIVER BELOW LAKE ESTES; CO,CO,40.37639,-105.48583,,,,,,0,,,,stream,,GP
btcan,BIG THOMPSON RIVER AT CANYON MOUTH; CO (SCADA),CO,40.42167,-105.22611,,,,,,0,,,,stream,,GP
btcanyco,BIG THOMPSON RIVER AT CANYON MOUTH; NR DRAKE; CO,CO,40.42167,-105.22611,,,,,,0,,,,stream,,GP
btclhtco,COLORADO - BIG THOMPSON; CO,CO,40.35444,-104.75972,,,,,,0,,,,stream,,GP
btdm,BLACKTAIL DEER CREEK AT DILLON; MONTANA,MT,45.04639,-112.54806,,,,,,0,,,,stream,,GP
btnfdrco,NORTH FORK BIG THOMPSON RIVER AT DRAKE; CO,CO,40.43333,-105.33889,,,,,,0,,,,stream,,GP
btnw,BEAR TRAP MEADOW; WYOMING,WY,43.88334,-107.06667,8200,,,,,0,,,,snotel,,GP
btppmcco,POWER PLANT AT BIG THOMPSON RVR CANYON MOUTH; CO,CO,40.42361,-105.22806,5450,,,,,0,,,,stream,,GP
buckflatswe,BUCK FLAT,UT,39.1333,-111.4333,9800,US/Mountain,,,,0,,,,snotel,,UC
bucu,UCC - Buckhorn; Utah Weather Station,UT,38.0399,-112.711483,1773.936,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN
buffaloparkswe,BUFFALO PARK,CO,40.2167,-106.5833,9240,US/Mountain,,,,0,,,,snotel,,UC
buglakeswe,BUG LAKE,UT,41.6833,-111.4167,7950,US/Mountain,,,,0,,,,snotel,,UC
bullheadcity,Bullhead City,AZ,35.2,-114.57,,US/Mountain,,,,0,,,,diversion,,LC
burnhamwashnrburnham,BURNHAM WASH NR BURNHAM; NM,NM,36.3531,-108.4544,0,US/Mountain,,,,0,,,,stream,,UC
burromountainswe,BURRO MOUNTAIN,CO,39.8833,-107.6,9400,US/Mountain,,,,0,,,,snotel,,UC
bustunco,BUSK-IVANHOE TUNNEL; COLORADO    (Parshall Flume),CO,39.24861,-106.47056,,,,,,0,,,,diversion,,GP
butteswe,BUTTE,CO,38.9,-106.95,10160,US/Mountain,,,,0,,,,snotel,,UC
bvb,BEAVERHEAD RIVER AT BARRETTS; MONTANA,MT,45.11639,-112.74972,,,,,,0,,,,stream,,GP
bvpc,DRI - Bridgeport Valley; Nevada Weather Station,NV,38.223056,-119.252222,1979.676,US/Pacific,7/12/2012,,m,0,agrimet_map,,,agrimet,dri,PN
